employee_id,department,age,salary,experience_years,performance_score,attrition
E001,Sales,35,65000,8,4.2,No
E002,Engineering,28,85000,5,4.5,No
E003,HR,42,55000,15,3.8,No
E004,Sales,26,48000,2,3.5,Yes
E005,Engineering,45,110000,20,4.8,No
E006,Marketing,31,62000,7,4.1,No
E007,HR,38,52000,12,3.6,No
E008,Engineering,24,72000,1,4.3,No
E009,Sales,52,78000,25,4.0,No
E010,Marketing,29,58000,4,3.9,Yes
E011,Engineering,33,95000,8,4.6,No
E012,Sales,37,60000,10,3.7,No
E013,HR,45,50000,18,3.4,Yes
E014,Engineering,30,88000,6,4.4,No
E015,Marketing,41,67000,14,4.2,No
E016,Sales,23,42000,1,3.2,Yes
E017,Engineering,48,120000,22,4.9,No
E018,HR,34,48000,8,3.9,No
E019,Marketing,27,54000,3,3.6,Yes
E020,Sales,44,72000,18,4.1,No
E021,Engineering,36,92000,10,4.5,No
E022,HR,50,53000,22,3.5,No
E023,Marketing,39,64000,12,4.0,No
E024,Sales,32,56000,6,3.8,No
E025,Engineering,25,75000,2,4.2,No
E026,HR,29,46000,4,3.3,Yes
E027,Sales,47,70000,20,3.9,No
E028,Engineering,40,102000,14,4.7,No
E029,Marketing,35,61000,9,4.1,No
E030,Sales,55,75000,28,3.6,Yes
E031,Engineering,22,68000,1,4.1,No
E032,HR,41,51000,16,3.7,No
E033,Marketing,46,66000,18,4.3,No
E034,Sales,30,52000,5,3.4,Yes
E035,Engineering,38,98000,12,4.6,No
E036,HR,26,44000,2,3.1,Yes
E037,Marketing,43,65000,16,4.0,No
E038,Sales,49,74000,22,4.2,No
E039,Engineering,34,90000,9,4.4,No
E040,HR,53,54000,25,3.8,No
E041,Marketing,28,56000,3,3.5,Yes
E042,Sales,39,63000,12,3.9,No
E043,Engineering,42,108000,16,4.8,No
E044,HR,36,49000,10,3.6,No
E045,Marketing,50,68000,20,4.2,No
E046,Sales,25,45000,2,3.3,Yes
E047,Engineering,27,78000,3,4.0,No
E048,HR,44,52000,18,3.5,No
E049,Marketing,32,60000,7,3.8,No
E050,Sales,54,76000,26,4.1,No
