date,product,region,units_sold,revenue,discount,profit
2024-01-05,Widget A,North,120,2400,10,600
2024-01-12,Widget B,North,85,2125,5,850
2024-01-19,Gadget X,North,200,6000,15,1800
2024-01-26,Widget A,South,95,1900,20,380
2024-02-02,Gadget Y,South,150,4500,10,1350
2024-02-09,Widget B,East,110,2750,8,990
2024-02-16,Gadget X,West,180,5400,12,1620
2024-02-23,Widget A,East,70,1400,5,420
2024-03-02,Gadget Y,North,130,3900,15,1170
2024-03-09,Widget B,South,90,2250,10,675
2024-03-16,Gadget X,East,220,6600,20,1980
2024-03-23,Widget A,West,60,1200,0,480
2024-03-30,Gadget Y,West,140,4200,8,1260
2024-04-06,Widget B,North,105,2625,12,840
2024-04-13,Gadget X,South,190,5700,18,1710
2024-04-20,Widget A,East,80,1600,10,320
2024-04-27,Gadget Y,East,160,4800,5,1440
2024-05-04,Widget B,West,75,1875,8,675
2024-05-11,Gadget X,North,240,7200,25,2160
2024-05-18,Widget A,South,55,1100,0,440
2024-05-25,Gadget Y,South,170,5100,12,1530
2024-06-01,Widget B,East,95,2375,7,855
2024-06-08,Gadget X,West,210,6300,15,1890
2024-06-15,Widget A,North,65,1300,5,390
2024-06-22,Gadget Y,North,190,5700,20,1710
2024-06-29,Widget B,South,100,2500,10,750
2024-07-06,Gadget X,East,250,7500,22,2250
2024-07-13,Widget A,West,45,900,0,360
2024-07-20,Gadget Y,West,155,4650,10,1395
2024-07-27,Widget B,North,115,2875,15,920
2024-08-03,Gadget X,South,230,6900,18,2070
2024-08-10,Widget A,East,90,1800,8,450
2024-08-17,Gadget Y,East,145,4350,5,1305
2024-08-24,Widget B,West,85,2125,10,680
2024-08-31,Gadget X,North,260,7800,20,2340
2024-09-07,Widget A,South,75,1500,12,300
2024-09-14,Gadget Y,South,165,4950,15,1485
2024-09-21,Widget B,East,120,3000,8,1080
2024-09-28,Gadget X,West,195,5850,10,1755
2024-10-05,Widget A,North,100,2000,15,500
2024-10-12,Gadget Y,North,180,5400,18,1620
2024-10-19,Widget B,South,95,2375,5,855
2024-10-26,Gadget X,East,215,6450,25,1935
2024-11-02,Widget A,West,70,1400,10,350
2024-11-09,Gadget Y,West,150,4500,12,1350
2024-11-16,Widget B,North,130,3250,8,1170
2024-11-23,Gadget X,South,205,6150,20,1845
2024-11-30,Widget A,East,85,1700,5,510
2024-12-07,Gadget Y,East,175,5250,15,1575
2024-12-14,Widget B,West,110,2750,10,880
2024-12-21,Gadget X,North,280,8400,30,2520
2024-12-28,Widget A,South,65,1300,0,520
